;id;open tasks;sink;source;time;x;y
130;10;[1],[2];(11, 1);(0, 1);8;3;3
131;11;[3],[3];(11, 7);(0, 10);8;1;5
132;12;[1],[3];(11, 4);(0, 1);8;3;3
133;13;[2],[1];(11, 1);(0, 4);8;2;1
134;14;[1],[1];(11, 1);(0, 1);8;2;3
135;15;[2],[1];(11, 7);(0, 4);8;2;1
136;16;[3],[2];(11, 10);(0, 7);8;2;5
137;17;[3],[1];(11, 10);(0, 7);8;2;5
138;18;[1],[1];(11, 10);(0, 1);8;2;3
139;19;[1],[3];(11, 4);(0, 10);8;3;9
140;0;[1];(11, 7);(0, 1);9;3;1
141;1;[3];(11, 10);(0, 4);9;3;2
142;2;[2],[1];(11, 7);(0, 7);9;3;1
143;3;[2];(11, 7);(0, 4);9;3;2
144;4;[2],[1];(11, 1);(0, 7);9;3;2
145;5;[2],[3];(11, 1);(0, 7);9;3;2
146;6;[3],[3];(11, 4);(0, 10);9;3;5
147;7;[3],[1];(11, 7);(0, 1);9;3;1
148;8;[2],[1];(11, 1);(0, 10);9;5;11
149;9;[1],[2];(11, 1);(0, 1);9;3;4
150;10;[1],[2];(11, 1);(0, 1);9;3;3
151;11;[3],[3];(11, 7);(0, 10);9;2;5
152;12;[1],[3];(11, 4);(0, 1);9;3;4
153;13;[2],[1];(11, 1);(0, 4);9;2;0
154;14;[1],[1];(11, 1);(0, 1);9;3;3
155;15;[2],[1];(11, 7);(0, 4);9;2;0
156;16;[3],[2];(11, 10);(0, 7);9;3;5
157;17;[3],[1];(11, 10);(0, 7);9;3;5
158;18;[1],[1];(11, 10);(0, 1);9;2;3
159;19;[1],[3];(11, 4);(0, 10);9;4;9
160;0;[1];(11, 7);(0, 1);10;3;2
161;1;;(11, 10);(0, 4);10;3;2
162;2;[2],[1];(11, 7);(0, 7);10;3;1
163;3;[2];(11, 7);(0, 4);10;3;1
164;4;[2],[1];(11, 1);(0, 7);10;3;1
165;5;[2],[3];(11, 1);(0, 7);10;3;1
166;6;[3],[3];(11, 4);(0, 10);10;3;4
167;7;[3],[1];(11, 7);(0, 1);10;3;0
168;8;[2],[1];(11, 1);(0, 10);10;5;11
169;9;[1],[2];(11, 1);(0, 1);10;3;3
170;10;[1],[2];(11, 1);(0, 1);10;3;3
171;11;[3],[3];(11, 7);(0, 10);10;3;5
172;12;[1],[3];(11, 4);(0, 1);10;3;4
173;13;[2],[1];(11, 1);(0, 4);10;2;0
174;14;[1],[1];(11, 1);(0, 1);10;3;3
175;15;[2],[1];(11, 7);(0, 4);10;2;0
176;16;[3],[2];(11, 10);(0, 7);10;3;4
177;17;[3],[1];(11, 10);(0, 7);10;3;4
178;18;[1],[1];(11, 10);(0, 1);10;2;3
179;19;[1],[3];(11, 4);(0, 10);10;4;9
180;0;[1];(11, 7);(0, 1);11;3;2
181;1;;(11, 10);(0, 4);11;4;2
182;2;[2],[1];(11, 7);(0, 7);11;3;0
183;3;[2];(11, 7);(0, 4);11;3;0
184;4;[2],[1];(11, 1);(0, 7);11;3;1
185;5;[2],[3];(11, 1);(0, 7);11;3;1
186;6;[3],[3];(11, 4);(0, 10);11;3;3
187;7;[3],[1];(11, 7);(0, 1);11;3;1
188;8;[2],[1];(11, 1);(0, 10);11;6;11
189;9;[1],[2];(11, 1);(0, 1);11;2;3
190;10;[1],[2];(11, 1);(0, 1);11;3;3
191;11;[3],[3];(11, 7);(0, 10);11;3;4
192;12;[1],[3];(11, 4);(0, 1);11;3;3
193;13;[2],[1];(11, 1);(0, 4);11;2;0
194;14;[1];(11, 1);(0, 1);11;3;3
195;15;[2],[1];(11, 7);(0, 4);11;2;0
196;16;[3],[2];(11, 10);(0, 7);11;3;3
197;17;[3],[1];(11, 10);(0, 7);11;3;3
198;18;[1],[1];(11, 10);(0, 1);11;2;3
199;19;[1],[3];(11, 4);(0, 10);11;4;9
200;0;[1];(11, 7);(0, 1);12;3;2
201;1;;(11, 10);(0, 4);12;5;2
202;2;[1];(11, 7);(0, 7);12;3;0
203;3;[2];(11, 7);(0, 4);12;3;0
204;4;[2],[1];(11, 1);(0, 7);12;2;1
205;5;[2],[3];(11, 1);(0, 7);12;3;1
206;6;[3],[3];(11, 4);(0, 10);12;3;2
207;7;[3],[1];(11, 7);(0, 1);12;3;1
208;8;[1];(11, 1);(0, 10);12;6;11
209;9;[1],[2];(11, 1);(0, 1);12;2;3
210;10;[1],[2];(11, 1);(0, 1);12;3;3
211;11;[3],[3];(11, 7);(0, 10);12;3;3
212;12;[1],[3];(11, 4);(0, 1);12;3;3
213;13;[2],[1];(11, 1);(0, 4);12;2;0
214;14;;(11, 1);(0, 1);12;3;3
215;15;[2],[1];(11, 7);(0, 4);12;3;0
216;16;[3],[2];(11, 10);(0, 7);12;3;2
217;17;[3],[1];(11, 10);(0, 7);12;4;3
218;18;[1],[1];(11, 10);(0, 1);12;2;3
219;19;[1],[3];(11, 4);(0, 10);12;5;9
220;0;[1];(11, 7);(0, 1);13;2;2
221;1;;(11, 10);(0, 4);13;5;3
222;2;[1];(11, 7);(0, 7);13;3;1
223;3;;(11, 7);(0, 4);13;3;0
224;4;[2],[1];(11, 1);(0, 7);13;2;0
225;5;[2],[3];(11, 1);(0, 7);13;3;1
226;6;[3];(11, 4);(0, 10);13;3;2
227;7;[3],[1];(11, 7);(0, 1);13;3;1
228;8;[1];(11, 1);(0, 10);13;5;11
229;9;[1],[2];(11, 1);(0, 1);13;3;3
230;10;[1],[2];(11, 1);(0, 1);13;3;2
231;11;[3],[3];(11, 7);(0, 10);13;3;3
232;12;[3];(11, 4);(0, 1);13;3;3
233;13;[2],[1];(11, 1);(0, 4);13;2;0
234;14;;(11, 1);(0, 1);13;4;3
235;15;[2],[1];(11, 7);(0, 4);13;3;0
236;16;[3],[2];(11, 10);(0, 7);13;4;2
237;17;[3],[1];(11, 10);(0, 7);13;4;2
238;18;[1],[1];(11, 10);(0, 1);13;2;3
239;19;[3];(11, 4);(0, 10);13;5;9
240;0;[1];(11, 7);(0, 1);14;2;3
241;1;;(11, 10);(0, 4);14;5;4
242;2;[1];(11, 7);(0, 7);14;3;2
243;3;;(11, 7);(0, 4);14;3;1
244;4;[2],[1];(11, 1);(0, 7);14;2;0
245;5;[2],[3];(11, 1);(0, 7);14;3;1
246;6;;(11, 4);(0, 10);14;3;2
247;7;[3],[1];(11, 7);(0, 1);14;3;1
248;8;[1];(11, 1);(0, 10);14;5;10
249;9;[1],[2];(11, 1);(0, 1);14;3;3
250;10;[1],[2];(11, 1);(0, 1);14;3;3
251;11;[3],[3];(11, 7);(0, 10);14;3;2
252;12;[3];(11, 4);(0, 1);14;3;3
253;13;[2],[1];(11, 1);(0, 4);14;2;0
254;14;;(11, 1);(0, 1);14;4;2
255;15;[1];(11, 7);(0, 4);14;3;0
256;16;[3],[2];(11, 10);(0, 7);14;4;2
257;17;[3],[1];(11, 10);(0, 7);14;3;2
258;18;[1],[1];(11, 10);(0, 1);14;2;3
259;19;[3];(11, 4);(0, 10);14;5;8
260;0;[1];(11, 7);(0, 1);15;2;3
261;1;;(11, 10);(0, 4);15;5;5
262;2;[1];(11, 7);(0, 7);15;3;2
263;3;;(11, 7);(0, 4);15;3;2
264;4;[2],[1];(11, 1);(0, 7);15;2;0
265;5;[2],[3];(11, 1);(0, 7);15;3;0
266;6;;(11, 4);(0, 10);15;4;2
267;7;[3],[1];(11, 7);(0, 1);15;3;1
268;8;[1];(11, 1);(0, 10);15;5;10
269;9;[1],[2];(11, 1);(0, 1);15;3;3
270;10;[2];(11, 1);(0, 1);15;3;3
271;11;[3];(11, 7);(0, 10);15;3;2
272;12;[3];(11, 4);(0, 1);15;3;3
273;13;[2],[1];(11, 1);(0, 4);15;2;0
274;14;;(11, 1);(0, 1);15;4;1
275;15;[1];(11, 7);(0, 4);15;3;1
276;16;[3],[2];(11, 10);(0, 7);15;4;2
277;17;[3],[1];(11, 10);(0, 7);15;3;3
278;18;[1],[1];(11, 10);(0, 1);15;3;3
279;19;[3];(11, 4);(0, 10);15;5;7
280;0;[1];(11, 7);(0, 1);16;2;3
281;1;;(11, 10);(0, 4);16;6;5
282;2;[1];(11, 7);(0, 7);16;3;2
283;3;;(11, 7);(0, 4);16;4;2
284;4;[2],[1];(11, 1);(0, 7);16;2;0
285;5;[3];(11, 1);(0, 7);16;3;0
286;6;;(11, 4);(0, 10);16;4;3
287;7;[3],[1];(11, 7);(0, 1);16;3;1
288;8;[1];(11, 1);(0, 10);16;5;9
289;9;[1],[2];(11, 1);(0, 1);16;3;3
290;10;[2];(11, 1);(0, 1);16;3;2
291;11;;(11, 7);(0, 10);16;3;2
292;12;[3];(11, 4);(0, 1);16;3;2
293;13;[2],[1];(11, 1);(0, 4);16;3;0
294;14;;(11, 1);(0, 1);16;5;1
295;15;[1];(11, 7);(0, 4);16;3;2
296;16;[3],[2];(11, 10);(0, 7);16;3;2
297;17;[3],[1];(11, 10);(0, 7);16;3;3
298;18;[1],[1];(11, 10);(0, 1);16;3;3
299;19;[3];(11, 4);(0, 10);16;4;7
300;0;[1];(11, 7);(0, 1);17;3;3
301;1;;(11, 10);(0, 4);17;7;5
302;2;[1];(11, 7);(0, 7);17;3;2
303;3;;(11, 7);(0, 4);17;4;3
304;4;[2],[1];(11, 1);(0, 7);17;2;0
305;5;[3];(11, 1);(0, 7);17;3;1
306;6;;(11, 4);(0, 10);17;4;4
307;7;[3],[1];(11, 7);(0, 1);17;3;1
308;8;;(11, 1);(0, 10);17;5;9
309;9;[1],[2];(11, 1);(0, 1);17;3;2
310;10;[2];(11, 1);(0, 1);17;3;1
311;11;;(11, 7);(0, 10);17;4;2
312;12;;(11, 4);(0, 1);17;3;2
313;13;[1];(11, 1);(0, 4);17;3;0
314;14;;(11, 1);(0, 1);17;6;1
315;15;[1];(11, 7);(0, 4);17;3;2
316;16;[3],[2];(11, 10);(0, 7);17;3;2
317;17;[3],[1];(11, 10);(0, 7);17;3;2
318;18;[1];(11, 10);(0, 1);17;3;3
319;19;[3];(11, 4);(0, 10);17;4;6
320;0;;(11, 7);(0, 1);18;3;3
321;1;;(11, 10);(0, 4);18;8;5
322;2;[1];(11, 7);(0, 7);18;3;2
323;3;;(11, 7);(0, 4);18;5;3
324;4;[2],[1];(11, 1);(0, 7);18;3;0
325;5;[3];(11, 1);(0, 7);18;3;2
326;6;;(11, 4);(0, 10);18;5;4
327;7;[3],[1];(11, 7);(0, 1);18;4;1
328;8;;(11, 1);(0, 10);18;6;9
329;9;[1],[2];(11, 1);(0, 1);18;3;2
330;10;[2];(11, 1);(0, 1);18;3;0
331;11;;(11, 7);(0, 10);18;4;3
332;12;;(11, 4);(0, 1);18;4;2
333;13;[1];(11, 1);(0, 4);18;3;1
334;14;;(11, 1);(0, 1);18;7;1
335;15;[1];(11, 7);(0, 4);18;3;2
336;16;[2];(11, 10);(0, 7);18;3;2
337;17;[3],[1];(11, 10);(0, 7);18;2;2
338;18;[1];(11, 10);(0, 1);18;3;3
339;19;[3];(11, 4);(0, 10);18;4;5
340;0;;(11, 7);(0, 1);19;4;3
341;1;;(11, 10);(0, 4);19;9;5
342;2;[1];(11, 7);(0, 7);19;3;3
343;3;;(11, 7);(0, 4);19;6;3
344;4;[1];(11, 1);(0, 7);19;3;0
345;5;;(11, 1);(0, 7);19;3;2
346;6;;(11, 4);(0, 10);19;6;4
347;7;[3],[1];(11, 7);(0, 1);19;4;2
348;8;;(11, 1);(0, 10);19;7;9
349;9;[1],[2];(11, 1);(0, 1);19;3;2
350;10;[2];(11, 1);(0, 1);19;3;0
351;11;;(11, 7);(0, 10);19;5;3
352;12;;(11, 4);(0, 1);19;4;3
353;13;[1];(11, 1);(0, 4);19;3;2
354;14;;(11, 1);(0, 1);19;8;1
355;15;[1];(11, 7);(0, 4);19;3;2
356;16;[2];(11, 10);(0, 7);19;3;1
357;17;[3],[1];(11, 10);(0, 7);19;3;2
358;18;;(11, 10);(0, 1);19;3;3
359;19;[3];(11, 4);(0, 10);19;3;5
360;0;;(11, 7);(0, 1);20;5;3
361;1;;(11, 10);(0, 4);20;10;5
362;2;;(11, 7);(0, 7);20;3;3
363;3;;(11, 7);(0, 4);20;6;4
364;4;[1];(11, 1);(0, 7);20;3;1
365;5;;(11, 1);(0, 7);20;3;1
366;6;;(11, 4);(0, 10);20;7;4
367;7;[3],[1];(11, 7);(0, 1);20;4;2
368;8;;(11, 1);(0, 10);20;7;8
369;9;[1],[2];(11, 1);(0, 1);20;3;2
370;10;;(11, 1);(0, 1);20;3;0
371;11;;(11, 7);(0, 10);20;6;3
372;12;;(11, 4);(0, 1);20;4;4
373;13;[1];(11, 1);(0, 4);20;4;2
374;14;;(11, 1);(0, 1);20;9;1
375;15;[1];(11, 7);(0, 4);20;3;2
376;16;[2];(11, 10);(0, 7);20;3;0
377;17;[1];(11, 10);(0, 7);20;3;2
378;18;;(11, 10);(0, 1);20;3;4
379;19;[3];(11, 4);(0, 10);20;3;4
380;0;;(11, 7);(0, 1);21;6;3
381;1;;(11, 10);(0, 4);21;11;5
382;2;;(11, 7);(0, 7);21;4;3
383;3;;(11, 7);(0, 4);21;7;4
384;4;[1];(11, 1);(0, 7);21;3;2
385;5;;(11, 1);(0, 7);21;4;1
386;6;;(11, 4);(0, 10);21;8;4
387;7;[3],[1];(11, 7);(0, 1);21;4;2
388;8;;(11, 1);(0, 10);21;8;8
389;9;[1],[2];(11, 1);(0, 1);21;3;3
390;10;;(11, 1);(0, 1);21;3;1
391;11;;(11, 7);(0, 10);21;6;4
392;12;;(11, 4);(0, 1);21;5;4
393;13;[1];(11, 1);(0, 4);21;4;3
394;14;;(11, 1);(0, 1);21;10;1
395;15;[1];(11, 7);(0, 4);21;3;2
396;16;;(11, 10);(0, 7);21;3;0
397;17;[1];(11, 10);(0, 7);21;3;2
398;18;;(11, 10);(0, 1);21;3;5
399;19;[3];(11, 4);(0, 10);21;3;3
400;0;;(11, 7);(0, 1);22;6;4
401;1;;(11, 10);(0, 4);22;11;6
402;2;;(11, 7);(0, 7);22;5;3
403;3;;(11, 7);(0, 4);22;7;5
404;4;[1];(11, 1);(0, 7);22;3;2
405;5;;(11, 1);(0, 7);22;5;1
406;6;;(11, 4);(0, 10);22;9;4
407;7;[3],[1];(11, 7);(0, 1);22;3;2
408;8;;(11, 1);(0, 10);22;8;7
409;9;[1],[2];(11, 1);(0, 1);22;2;3
410;10;;(11, 1);(0, 1);22;4;1
411;11;;(11, 7);(0, 10);22;7;4
412;12;;(11, 4);(0, 1);22;6;4
413;13;[1];(11, 1);(0, 4);22;4;3
414;15;[1];(11, 7);(0, 4);22;3;2
415;16;;(11, 10);(0, 7);22;3;1
416;17;[1];(11, 10);(0, 7);22;3;3
417;18;;(11, 10);(0, 1);22;4;5
418;19;[3];(11, 4);(0, 10);22;3;3
419;20;[2],[3];(11, 4);(0, 10);22;0;10
420;0;;(11, 7);(0, 1);23;7;4
421;1;;(11, 10);(0, 4);23;11;7
422;2;;(11, 7);(0, 7);23;6;3
423;3;;(11, 7);(0, 4);23;7;6
424;4;[1];(11, 1);(0, 7);23;3;2
425;5;;(11, 1);(0, 7);23;6;1
426;6;;(11, 4);(0, 10);23;10;4
427;7;[3],[1];(11, 7);(0, 1);23;3;2
428;8;;(11, 1);(0, 10);23;8;6
429;9;[1],[2];(11, 1);(0, 1);23;2;3
430;10;;(11, 1);(0, 1);23;5;1
431;11;;(11, 7);(0, 10);23;7;5
432;12;;(11, 4);(0, 1);23;7;4
433;13;[1];(11, 1);(0, 4);23;3;3
434;15;[1];(11, 7);(0, 4);23;3;3
435;16;;(11, 10);(0, 7);23;4;1
436;17;[1];(11, 10);(0, 7);23;3;3
437;18;;(11, 10);(0, 1);23;5;5
438;19;[3];(11, 4);(0, 10);23;3;3
439;20;[2],[3];(11, 4);(0, 10);23;0;11
440;0;;(11, 7);(0, 1);24;7;5
441;1;;(11, 10);(0, 4);24;11;8
442;2;;(11, 7);(0, 7);24;6;4
443;3;;(11, 7);(0, 4);24;8;6
444;4;[1];(11, 1);(0, 7);24;3;2
445;5;;(11, 1);(0, 7);24;7;1
446;7;[1];(11, 7);(0, 1);24;3;2
447;8;;(11, 1);(0, 10);24;8;5
448;9;[1],[2];(11, 1);(0, 1);24;3;3
449;10;;(11, 1);(0, 1);24;6;1
450;11;;(11, 7);(0, 10);24;7;6
451;12;;(11, 4);(0, 1);24;8;4
452;13;[1];(11, 1);(0, 4);24;3;4
453;15;;(11, 7);(0, 4);24;3;3
454;16;;(11, 10);(0, 7);24;4;2
455;17;[1];(11, 10);(0, 7);24;3;2
456;18;;(11, 10);(0, 1);24;6;5
457;19;[3];(11, 4);(0, 10);24;3;2
458;20;[2],[3];(11, 4);(0, 10);24;1;11
459;21;[1],[2];(11, 10);(0, 7);24;0;7
460;0;;(11, 7);(0, 1);25;7;6
461;1;;(11, 10);(0, 4);25;11;9
462;2;;(11, 7);(0, 7);25;7;4
463;3;;(11, 7);(0, 4);25;8;7
464;4;[1];(11, 1);(0, 7);25;3;2
465;5;;(11, 1);(0, 7);25;8;1
466;7;[1];(11, 7);(0, 1);25;3;3
467;8;;(11, 1);(0, 10);25;8;4
468;9;[1],[2];(11, 1);(0, 1);25;2;3
469;10;;(11, 1);(0, 1);25;7;1
470;11;;(11, 7);(0, 10);25;8;6
471;12;;(11, 4);(0, 1);25;9;4
472;13;[1];(11, 1);(0, 4);25;3;4
473;15;;(11, 7);(0, 4);25;4;3
474;16;;(11, 10);(0, 7);25;5;2
475;17;[1];(11, 10);(0, 7);25;3;2
476;18;;(11, 10);(0, 1);25;7;5
477;19;;(11, 4);(0, 10);25;3;2
478;20;[2],[3];(11, 4);(0, 10);25;2;11
479;21;[1],[2];(11, 10);(0, 7);25;0;8
480;0;;(11, 7);(0, 1);26;8;6
481;2;;(11, 7);(0, 7);26;7;5
482;3;;(11, 7);(0, 4);26;9;7
483;4;[1];(11, 1);(0, 7);26;3;3
484;5;;(11, 1);(0, 7);26;9;1
485;7;;(11, 7);(0, 1);26;3;3
486;8;;(11, 1);(0, 10);26;8;3
487;9;[1],[2];(11, 1);(0, 1);26;3;3
488;10;;(11, 1);(0, 1);26;8;1
489;11;;(11, 7);(0, 10);26;8;7
490;12;;(11, 4);(0, 1);26;10;4
491;13;[1];(11, 1);(0, 4);26;2;4
492;15;;(11, 7);(0, 4);26;5;3
493;16;;(11, 10);(0, 7);26;5;3
494;17;[1];(11, 10);(0, 7);26;3;2
495;18;;(11, 10);(0, 1);26;8;5
496;19;;(11, 4);(0, 10);26;4;2
497;20;[2],[3];(11, 4);(0, 10);26;3;11
498;21;[1],[2];(11, 10);(0, 7);26;0;9
499;22;[2],[3];(11, 7);(0, 10);26;0;10
500;0;;(11, 7);(0, 1);27;8;7
501;2;;(11, 7);(0, 7);27;7;6
502;3;;(11, 7);(0, 4);27;10;7
503;4;;(11, 1);(0, 7);27;3;3
504;5;;(11, 1);(0, 7);27;10;1
505;7;;(11, 7);(0, 1);27;4;3
506;8;;(11, 1);(0, 10);27;8;2
507;9;[1],[2];(11, 1);(0, 1);27;3;3
508;10;;(11, 1);(0, 1);27;9;1
509;11;;(11, 7);(0, 10);27;9;7
510;13;[1];(11, 1);(0, 4);27;3;4
511;15;;(11, 7);(0, 4);27;6;3
512;16;;(11, 10);(0, 7);27;5;4
513;17;[1];(11, 10);(0, 7);27;3;2
514;18;;(11, 10);(0, 1);27;9;5
515;19;;(11, 4);(0, 10);27;4;3
516;20;[2],[3];(11, 4);(0, 10);27;4;11
517;21;[1],[2];(11, 10);(0, 7);27;1;9
518;22;[2],[3];(11, 7);(0, 10);27;0;11
519;23;[1],[3];(11, 7);(0, 1);27;0;1
520;0;;(11, 7);(0, 1);28;9;7
521;2;;(11, 7);(0, 7);28;8;6
522;4;;(11, 1);(0, 7);28;4;3
523;7;;(11, 7);(0, 1);28;5;3
524;8;;(11, 1);(0, 10);28;8;1
525;9;[1],[2];(11, 1);(0, 1);28;3;3
526;10;;(11, 1);(0, 1);28;10;1
527;11;;(11, 7);(0, 10);28;10;7
528;13;[1];(11, 1);(0, 4);28;3;3
529;15;;(11, 7);(0, 4);28;6;4
530;16;;(11, 10);(0, 7);28;5;5
531;17;[1];(11, 10);(0, 7);28;3;3
532;18;;(11, 10);(0, 1);28;10;5
533;19;;(11, 4);(0, 10);28;4;4
534;20;[2],[3];(11, 4);(0, 10);28;5;11
535;21;[1],[2];(11, 10);(0, 7);28;2;9
536;22;[2],[3];(11, 7);(0, 10);28;1;11
